accepted,coverage,risk
440,0.06128133704735376,0.0
441,0.061420612813370475,0.0
442,0.061559888579387184,0.0
443,0.0616991643454039,0.0
444,0.06183844011142061,0.0
445,0.06197771587743733,0.0
446,0.062116991643454036,0.0
447,0.06225626740947075,0.0
448,0.06239554317548746,0.0
449,0.06253481894150417,0.0
450,0.06267409470752089,0.0
451,0.0628133704735376,0.0
452,0.06295264623955432,0.0
453,0.06309192200557102,0.0
454,0.06323119777158774,0.0
455,0.06337047353760446,0.0
456,0.06350974930362117,0.0
457,0.06364902506963788,0.0
458,0.0637883008356546,0.0
459,0.06392757660167131,0.0
460,0.06406685236768803,0.0
461,0.06420612813370473,0.0
462,0.06434540389972145,0.0
463,0.06448467966573816,0.0
464,0.06462395543175488,0.0
465,0.06476323119777158,0.0
466,0.0649025069637883,0.0
467,0.06504178272980501,0.0
468,0.06518105849582173,0.0
469,0.06532033426183843,0.0
470,0.06545961002785515,0.0
471,0.06559888579387187,0.0
472,0.06573816155988858,0.0
473,0.06587743732590529,0.0
474,0.066016713091922,0.0
475,0.06615598885793872,0.0
476,0.06629526462395544,0.0
477,0.06643454038997214,0.0
478,0.06657381615598885,0.0
479,0.06671309192200557,0.0
480,0.06685236768802229,0.0
481,0.06699164345403899,0.0
482,0.06713091922005571,0.0
483,0.06727019498607242,0.0
484,0.06740947075208914,0.0
485,0.06754874651810584,0.0
486,0.06768802228412256,0.0
487,0.06782729805013928,0.0
488,0.06796657381615599,0.0
489,0.0681058495821727,0.0
490,0.06824512534818941,0.0
491,0.06838440111420613,0.0
492,0.06852367688022284,0.0
493,0.06866295264623956,0.0
494,0.06880222841225626,0.0
495,0.06894150417827298,0.0
496,0.0690807799442897,0.0
497,0.06922005571030641,0.0
498,0.06935933147632312,0.0
499,0.06949860724233983,0.0
500,0.06963788300835655,0.0
501,0.06977715877437327,0.0
502,0.06991643454038997,0.0
503,0.07005571030640668,0.0
504,0.0701949860724234,0.0
505,0.07033426183844012,0.0
506,0.07047353760445682,0.0
507,0.07061281337047354,0.0
508,0.07075208913649025,0.0
509,0.07089136490250697,0.0
510,0.07103064066852367,0.0
511,0.07116991643454039,0.0
512,0.0713091922005571,0.0
513,0.07144846796657382,0.0
514,0.07158774373259053,0.0
515,0.07172701949860724,0.0
516,0.07186629526462396,0.0
517,0.07200557103064067,0.0
518,0.07214484679665738,0.0
519,0.0722841225626741,0.0
520,0.07242339832869081,0.0
521,0.07256267409470753,0.0
522,0.07270194986072423,0.0
523,0.07284122562674095,0.0
524,0.07298050139275766,0.0
525,0.07311977715877438,0.0
526,0.07325905292479108,0.0
527,0.0733983286908078,0.0
528,0.07353760445682452,0.0
529,0.07367688022284123,0.0
530,0.07381615598885793,0.0
531,0.07395543175487465,0.0
532,0.07409470752089137,0.0
533,0.07423398328690808,0.0
534,0.07437325905292479,0.0
535,0.0745125348189415,0.0
536,0.07465181058495822,0.0
537,0.07479108635097494,0.0
538,0.07493036211699164,0.0
539,0.07506963788300836,0.0
540,0.07520891364902507,0.0
541,0.07534818941504179,0.0
542,0.07548746518105849,0.0
543,0.07562674094707521,0.0
544,0.07576601671309192,0.0
545,0.07590529247910864,0.0
546,0.07604456824512534,0.0
547,0.07618384401114206,0.0
548,0.07632311977715878,0.0
549,0.0764623955431755,0.0
550,0.0766016713091922,0.0
551,0.07674094707520891,0.0
552,0.07688022284122563,0.0
553,0.07701949860724235,0.0
554,0.07715877437325905,0.0
555,0.07729805013927576,0.0
556,0.07743732590529248,0.0
557,0.0775766016713092,0.0
558,0.0777158774373259,0.0
559,0.07785515320334262,0.0
560,0.07799442896935933,0.0
561,0.07813370473537605,0.0
562,0.07827298050139275,0.0
563,0.07841225626740947,0.0
564,0.07855153203342619,0.0
565,0.0786908077994429,0.0
566,0.0788300835654596,0.0
567,0.07896935933147632,0.0
568,0.07910863509749304,0.0
569,0.07924791086350975,0.0
570,0.07938718662952646,0.0
571,0.07952646239554317,0.0
572,0.07966573816155989,0.0
573,0.0798050139275766,0.0
574,0.07994428969359331,0.0
575,0.08008356545961003,0.0
576,0.08022284122562674,0.0
577,0.08036211699164346,0.0
578,0.08050139275766016,0.0
579,0.08064066852367688,0.0
580,0.0807799442896936,0.0
581,0.08091922005571031,0.0
582,0.08105849582172701,0.0
583,0.08119777158774373,0.0
584,0.08133704735376045,0.0
585,0.08147632311977716,0.0
586,0.08161559888579387,0.0
587,0.08175487465181058,0.0
588,0.0818941504178273,0.0
589,0.08203342618384402,0.0
590,0.08217270194986072,0.0
591,0.08231197771587744,0.0
592,0.08245125348189415,0.0
593,0.08259052924791087,0.0
594,0.08272980501392757,0.0
595,0.08286908077994429,0.0
596,0.083008356545961,0.0
597,0.08314763231197772,0.0
598,0.08328690807799442,0.0
599,0.08342618384401114,0.0
600,0.08356545961002786,0.0
601,0.08370473537604457,0.0
602,0.08384401114206128,0.0
603,0.08398328690807799,0.0
604,0.08412256267409471,0.0
605,0.08426183844011143,0.0
606,0.08440111420612813,0.0
607,0.08454038997214484,0.0
608,0.08467966573816156,0.0
609,0.08481894150417828,0.0
610,0.08495821727019498,0.0
611,0.0850974930362117,0.0
612,0.08523676880222841,0.0
613,0.08537604456824513,0.0
614,0.08551532033426183,0.0
615,0.08565459610027855,0.0
616,0.08579387186629527,0.0
617,0.08593314763231198,0.0
618,0.08607242339832868,0.0
619,0.0862116991643454,0.0
620,0.08635097493036212,0.0
621,0.08649025069637883,0.0
