model,target,prediction,count
cnn-seed-2,7,1,0
cnn-seed-2,7,2,1
cnn-seed-2,7,3,6
cnn-seed-2,7,4,0
cnn-seed-2,7,5,12
cnn-seed-2,7,6,0
cnn-seed-2,7,8,0
cnn-seed-2,8,0,0
cnn-seed-2,8,1,1
cnn-seed-2,8,2,0
cnn-seed-2,8,3,0
cnn-seed-2,8,4,0
cnn-seed-2,8,5,0
cnn-seed-2,8,6,0
cnn-seed-2,8,7,0
cnn-seed-2-calibrated,0,1,0
cnn-seed-2-calibrated,0,2,0
cnn-seed-2-calibrated,0,3,0
cnn-seed-2-calibrated,0,4,0
cnn-seed-2-calibrated,0,5,0
cnn-seed-2-calibrated,0,6,0
cnn-seed-2-calibrated,0,7,0
cnn-seed-2-calibrated,0,8,0
cnn-seed-2-calibrated,1,0,0
cnn-seed-2-calibrated,1,2,0
cnn-seed-2-calibrated,1,3,0
cnn-seed-2-calibrated,1,4,0
cnn-seed-2-calibrated,1,5,0
cnn-seed-2-calibrated,1,6,0
cnn-seed-2-calibrated,1,7,0
cnn-seed-2-calibrated,1,8,0
cnn-seed-2-calibrated,2,0,0
cnn-seed-2-calibrated,2,1,0
cnn-seed-2-calibrated,2,3,9
cnn-seed-2-calibrated,2,4,0
cnn-seed-2-calibrated,2,5,88
cnn-seed-2-calibrated,2,6,0
cnn-seed-2-calibrated,2,7,0
cnn-seed-2-calibrated,2,8,1
cnn-seed-2-calibrated,3,0,0
cnn-seed-2-calibrated,3,1,0
cnn-seed-2-calibrated,3,2,1
cnn-seed-2-calibrated,3,4,0
cnn-seed-2-calibrated,3,5,0
cnn-seed-2-calibrated,3,6,0
cnn-seed-2-calibrated,3,7,0
cnn-seed-2-calibrated,3,8,0
cnn-seed-2-calibrated,4,0,62
cnn-seed-2-calibrated,4,1,69
cnn-seed-2-calibrated,4,2,0
cnn-seed-2-calibrated,4,3,0
cnn-seed-2-calibrated,4,5,0
cnn-seed-2-calibrated,4,6,0
cnn-seed-2-calibrated,4,7,0
cnn-seed-2-calibrated,4,8,0
cnn-seed-2-calibrated,5,0,0
cnn-seed-2-calibrated,5,1,0
cnn-seed-2-calibrated,5,2,4
cnn-seed-2-calibrated,5,3,44
cnn-seed-2-calibrated,5,4,0
cnn-seed-2-calibrated,5,6,0
cnn-seed-2-calibrated,5,7,0
cnn-seed-2-calibrated,5,8,1
cnn-seed-2-calibrated,6,0,1
cnn-seed-2-calibrated,6,1,0
cnn-seed-2-calibrated,6,2,1
cnn-seed-2-calibrated,6,3,0
cnn-seed-2-calibrated,6,4,0
cnn-seed-2-calibrated,6,5,0
cnn-seed-2-calibrated,6,7,0
cnn-seed-2-calibrated,6,8,1
cnn-seed-2-calibrated,7,0,0
cnn-seed-2-calibrated,7,1,0
cnn-seed-2-calibrated,7,2,2
cnn-seed-2-calibrated,7,3,6
cnn-seed-2-calibrated,7,4,0
cnn-seed-2-calibrated,7,5,16
cnn-seed-2-calibrated,7,6,0
cnn-seed-2-calibrated,7,8,1
cnn-seed-2-calibrated,8,0,0
cnn-seed-2-calibrated,8,1,1
cnn-seed-2-calibrated,8,2,0
cnn-seed-2-calibrated,8,3,0
cnn-seed-2-calibrated,8,4,0
cnn-seed-2-calibrated,8,5,0
cnn-seed-2-calibrated,8,6,0
cnn-seed-2-calibrated,8,7,0
